FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;VIENTO DIRECCION;VIENTO VELOCIDAD
10/10/2016 10:00;84.0;88.0;79.0;0.0;;;15.0;15.7;13.9;35.0;2.0
10/10/2016 9:00;82.0;88.0;77.0;0.0;;;15.1;15.5;14.1;38.0;3.2
10/10/2016 8:00;;90.0;80.0;0.0;;;;14.3;13.4;;
10/10/2016 7:00;85.0;93.0;84.0;0.0;0.0;;13.4;13.4;11.6;292.0;0.1
10/10/2016 6:00;91.0;92.0;87.0;0.0;;;11.9;12.1;11.8;175.0;0.7
10/10/2016 5:00;89.0;89.0;86.0;0.0;;;12.0;12.1;11.3;155.0;0.7
10/10/2016 4:00;89.0;93.0;87.0;0.0;;;11.3;11.4;10.5;174.0;0.8
10/10/2016 3:00;93.0;93.0;83.0;0.0;;;11.2;12.2;11.2;163.0;1.3
10/10/2016 2:00;88.0;90.0;87.0;0.0;;;12.2;12.3;11.8;170.0;1.3
10/10/2016 1:00;89.0;91.0;86.0;0.0;;;11.9;12.4;11.7;224.0;1.3
10/10/2016 0:00;88.0;88.0;85.0;0.0;;;12.3;12.7;12.2;162.0;1.6
9/10/2016 23:00;87.0;89.0;84.0;0.0;;;12.6;12.9;11.8;183.0;1.5
9/10/2016 22:00;89.0;89.0;84.0;0.0;;;11.7;12.1;11.4;207.0;2.0
9/10/2016 19:00;;;;;0.0;;;;;;
9/10/2016 17:00;;83.0;81.0;0.0;;;;13.0;12.8;;
9/10/2016 16:00;;91.0;84.0;0.0;;;;13.1;12.8;;
9/10/2016 13:00;;;;;0.0;;;;;;
9/10/2016 11:00;;85.0;77.0;0.0;;;;16.5;16.0;;
