;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
12/10/2016 10:00;72.0;81.0;55.0;0.0;;;13.1;13.9;12.4;92.0;4.3
12/10/2016 9:00;61.0;75.0;60.0;0.0;;;13.0;13.1;11.8;115.0;8.2
12/10/2016 8:00;;78.0;63.0;0.0;;;;11.9;9.3;;
12/10/2016 7:00;68.0;94.0;66.0;0.0;0.4;;9.7;9.7;5.9;154.0;4.0
12/10/2016 6:00;;98.0;85.0;0.0;;;;6.2;5.3;;
12/10/2016 5:00;;97.0;63.0;0.0;;;;9.1;6.2;;
12/10/2016 4:00;63.0;85.0;63.0;0.0;;;9.1;9.2;6.8;172.0;3.2
12/10/2016 3:00;73.0;81.0;70.0;0.0;;;8.4;8.7;7.2;134.0;4.8
12/10/2016 2:00;80.0;85.0;80.0;0.0;;;7.4;7.8;6.9;143.0;3.7
12/10/2016 1:00;83.0;93.0;83.0;0.0;;;7.7;7.7;7.2;141.0;10.1
12/10/2016 0:00;;100.0;94.0;0.0;;;;7.4;6.7;;
11/10/2016 23:00;100.0;100.0;100.0;0.3;;;7.0;7.0;6.9;324.0;0.3
11/10/2016 22:00;100.0;100.0;100.0;0.1;;;6.9;7.0;6.7;308.0;0.3
11/10/2016 21:00;100.0;100.0;100.0;0.0;;;6.8;7.1;6.7;311.0;1.6
11/10/2016 20:00;100.0;100.0;100.0;0.0;;;7.0;7.0;6.7;297.0;1.2
11/10/2016 19:00;100.0;100.0;100.0;0.0;0.0;;6.8;7.6;6.7;217.0;1.1
11/10/2016 18:00;100.0;100.0;100.0;0.0;;;7.4;7.9;7.1;145.0;0.8
11/10/2016 17:00;100.0;100.0;100.0;0.0;;;7.4;8.6;7.4;311.0;1.5
11/10/2016 16:00;100.0;100.0;100.0;0.0;;;8.4;8.8;7.9;337.0;1.8
11/10/2016 15:00;100.0;100.0;99.0;0.0;;;8.4;9.4;8.2;304.0;1.7
11/10/2016 14:00;100.0;100.0;99.0;0.0;;;8.4;9.2;7.8;333.0;2.3
11/10/2016 13:00;100.0;100.0;99.0;0.0;0.1;;8.6;10.0;7.8;331.0;2.8
11/10/2016 12:00;100.0;100.0;100.0;0.0;;;8.0;8.8;7.6;321.0;2.4
11/10/2016 11:00;100.0;100.0;100.0;0.0;;;7.7;8.3;7.2;323.0;2.1
