FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;VIENTO DIRECCION;VIENTO VELOCIDAD
17/10/2016 13:00;78.0;85.0;72.0;0.0;0.1;;17.7;18.3;16.8;28.0;3.3
17/10/2016 12:00;79.0;84.0;71.0;0.0;;;17.4;18.4;16.9;47.0;3.1
17/10/2016 11:00;78.0;83.0;72.0;0.1;;;17.5;18.1;16.6;28.0;3.4
17/10/2016 10:00;78.0;85.0;73.0;0.0;;;17.1;17.6;15.5;37.0;2.6
17/10/2016 9:00;78.0;83.0;68.0;0.0;;;16.7;17.6;16.3;2.0;3.1
17/10/2016 8:00;73.0;80.0;62.0;0.0;;;16.4;18.2;11.8;55.0;1.6
17/10/2016 7:00;;80.0;77.0;0.0;0.0;;;12.0;11.5;;
17/10/2016 6:00;79.0;85.0;77.0;0.0;;;11.7;12.5;11.4;180.0;3.6
17/10/2016 5:00;81.0;81.0;79.0;0.0;;;11.9;12.4;11.6;172.0;2.1
17/10/2016 4:00;81.0;84.0;81.0;0.0;;;11.6;11.8;11.2;183.0;3.3
17/10/2016 3:00;80.0;86.0;80.0;0.0;;;11.7;12.2;11.1;164.0;2.9
17/10/2016 2:00;86.0;92.0;84.0;0.0;;;11.1;11.5;10.0;185.0;2.4
17/10/2016 1:00;;94.0;88.0;0.0;;;;10.5;9.7;;
17/10/2016 0:00;94.0;95.0;88.0;0.0;;;10.1;10.5;9.5;187.0;2.5
16/10/2016 23:00;88.0;93.0;86.0;0.0;;;10.3;10.7;9.9;156.0;1.3
16/10/2016 19:00;;;;;0.0;;;;;;
