FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;VIENTO DIRECCION;VIENTO VELOCIDAD
16/10/2016 12:00;;84.0;76.0;0.0;;;;17.6;16.3;;
16/10/2016 11:00;;82.0;74.0;0.0;;;;16.8;15.8;;
16/10/2016 10:00;83.0;91.0;79.0;0.0;;;16.0;17.2;15.1;36.0;4.3
16/10/2016 9:00;80.0;84.0;51.0;0.0;;;17.2;20.1;15.8;38.0;2.7
16/10/2016 8:00;73.0;83.0;59.0;0.0;;;17.2;18.6;10.7;71.0;0.9
16/10/2016 7:00;82.0;83.0;77.0;0.0;0.0;;10.9;11.3;10.3;166.0;1.4
16/10/2016 6:00;79.0;85.0;78.0;0.0;;;11.0;11.2;9.8;186.0;3.1
16/10/2016 5:00;85.0;87.0;83.0;0.0;;;10.0;11.0;9.9;177.0;2.7
16/10/2016 4:00;87.0;88.0;84.0;0.0;;;10.6;11.3;10.5;178.0;1.5
16/10/2016 3:00;87.0;88.0;86.0;0.0;;;10.8;11.1;10.6;199.0;1.7
16/10/2016 2:00;86.0;88.0;80.0;0.0;;;11.0;11.9;10.6;181.0;2.7
16/10/2016 1:00;81.0;87.0;80.0;0.0;;;11.8;11.9;10.5;201.0;1.3
16/10/2016 0:00;84.0;88.0;81.0;0.0;;;11.1;11.5;10.4;188.0;2.7
15/10/2016 23:00;81.0;83.0;80.0;0.0;;;11.4;12.0;11.1;181.0;2.6
15/10/2016 22:00;;84.0;80.0;0.0;;;;12.1;11.4;;
15/10/2016 19:00;;;;;0.0;;;;;;
15/10/2016 17:00;;93.0;85.0;0.0;;;;14.5;13.6;;
15/10/2016 16:00;93.0;97.0;85.0;0.0;;;13.7;14.0;13.4;40.0;1.4
15/10/2016 15:00;96.0;97.0;93.0;0.0;;;13.8;14.3;13.5;358.0;2.2
15/10/2016 14:00;;96.0;91.0;0.0;;;;15.3;14.2;;
15/10/2016 13:00;95.0;99.0;93.0;0.0;0.0;;14.8;15.2;13.5;21.0;1.8
