FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
11/10/2016 10:00;78.0;89.0;74.0;0.0;;709.1;14.1;14.6;11.7;163.0;1.0
11/10/2016 9:00;84.0;91.0;81.0;0.0;;709.2;11.6;11.9;10.7;351.0;0.9
11/10/2016 8:00;88.0;93.0;87.0;0.0;;708.9;10.9;11.2;10.7;320.0;1.1
11/10/2016 7:00;88.0;97.0;87.0;0.0;3.2;708.2;10.9;11.2;9.2;334.0;1.7
11/10/2016 6:00;96.0;97.0;87.0;0.0;;707.5;9.4;10.5;9.3;40.0;0.2
11/10/2016 5:00;95.0;97.0;95.0;0.0;;706.9;9.9;10.0;9.3;12.0;0.1
11/10/2016 4:00;96.0;97.0;95.0;0.0;;707.1;9.8;10.0;9.4;50.0;0.1
11/10/2016 3:00;97.0;97.0;96.0;0.0;;707.3;9.8;10.0;9.6;318.0;0.3
11/10/2016 2:00;97.0;97.0;82.0;0.0;;707.7;10.0;11.4;10.0;310.0;0.8
11/10/2016 1:00;83.0;91.0;81.0;0.0;;708.1;11.3;11.6;10.5;149.0;1.1
11/10/2016 0:00;92.0;99.0;92.0;0.4;;708.5;10.4;10.5;9.6;108.0;1.3
10/10/2016 23:00;99.0;99.0;98.0;1.3;;708.9;9.8;9.9;9.5;16.0;0.4
10/10/2016 22:00;98.0;98.0;82.0;0.1;;708.7;9.9;11.7;9.8;346.0;0.3
10/10/2016 21:00;92.0;99.0;84.0;0.7;;708.4;11.1;11.8;9.7;358.0;1.3
10/10/2016 20:00;98.0;99.0;98.0;0.7;;707.9;10.1;10.1;9.4;4.0;1.3
10/10/2016 19:00;99.0;99.0;98.0;0.0;0.0;707.3;9.6;9.9;9.2;23.0;0.7
10/10/2016 18:00;98.0;98.0;95.0;0.0;;706.6;9.9;10.7;9.8;341.0;1.3
10/10/2016 17:00;96.0;97.0;84.0;0.0;;706.1;10.4;12.5;10.3;336.0;1.3
10/10/2016 16:00;86.0;92.0;79.0;0.0;;706.1;12.6;14.0;11.0;8.0;1.5
10/10/2016 15:00;79.0;86.0;49.0;0.0;;706.1;14.0;18.8;13.9;349.0;2.3
10/10/2016 14:00;59.0;64.0;53.0;0.0;;706.9;16.9;18.4;15.6;90.0;2.9
10/10/2016 13:00;59.0;83.0;59.0;0.0;0.0;707.6;16.0;16.6;13.4;93.0;4.7
10/10/2016 12:00;83.0;85.0;56.0;0.0;;708.3;13.9;17.6;13.7;123.0;3.1
10/10/2016 11:00;63.0;67.0;58.0;0.0;;708.6;15.5;16.6;14.8;126.0;3.3
