FECHA;HUMEDAD RELATIVA DEL AIRE INST;HUMEDAD RELATIVA DEL AIRE MAX;HUMEDAD RELATIVA DEL AIRE MIN;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE INST;TEMPERATURA AIRE MAX;TEMPERATURA AIRE MIN;VIENTO DIRECCION;VIENTO VELOCIDAD
18/10/2016 9:00;70.0;75.0;55.0;0.0;;;16.6;17.0;15.8;35.0;3.0
18/10/2016 8:00;56.0;78.0;51.0;0.0;;;17.1;17.7;10.0;50.0;1.2
18/10/2016 7:00;78.0;82.0;71.0;0.0;1.0;;10.0;10.8;8.9;192.0;1.0
18/10/2016 6:00;73.0;78.0;70.0;0.0;;;9.8;10.2;9.3;186.0;2.0
18/10/2016 5:00;70.0;81.0;69.0;0.0;;;10.2;10.5;9.0;196.0;2.0
18/10/2016 4:00;78.0;80.0;72.0;0.0;;;9.9;10.6;9.7;177.0;2.8
18/10/2016 3:00;75.0;86.0;74.0;0.0;;;10.3;10.4;9.2;188.0;2.3
18/10/2016 2:00;85.0;87.0;81.0;0.0;;;9.5;10.9;9.3;171.0;1.8
18/10/2016 1:00;84.0;92.0;81.0;0.3;;;10.4;10.9;9.7;184.0;3.4
18/10/2016 0:00;91.0;92.0;76.0;0.7;;;9.8;11.8;9.8;162.0;1.4
17/10/2016 23:00;76.0;81.0;75.0;0.0;;;11.8;11.9;11.0;186.0;3.1
17/10/2016 22:00;;82.0;76.0;0.0;;;;12.2;10.7;;
17/10/2016 21:00;77.0;93.0;76.0;0.0;;;12.1;12.3;11.5;182.0;2.6
17/10/2016 19:00;;92.0;89.0;0.0;0.0;;;13.5;13.0;;
17/10/2016 18:00;91.0;92.0;85.0;0.0;;;13.4;14.7;13.3;27.0;2.0
17/10/2016 17:00;;93.0;85.0;0.0;;;;15.3;14.1;;
17/10/2016 16:00;87.0;91.0;85.0;0.0;;;14.8;15.2;14.4;1.0;1.5
17/10/2016 15:00;87.0;88.0;75.0;0.0;;;14.9;16.9;14.8;41.0;3.1
17/10/2016 14:00;80.0;84.0;72.0;0.0;;;17.1;18.1;16.1;25.0;3.1
17/10/2016 13:00;78.0;85.0;72.0;0.0;0.1;;17.7;18.3;16.8;28.0;3.3
17/10/2016 12:00;79.0;84.0;71.0;0.0;;;17.4;18.4;16.9;47.0;3.1
17/10/2016 11:00;78.0;83.0;72.0;0.1;;;17.5;18.1;16.6;28.0;3.4
