FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
06/10/2016 10:00;63.0;73.0;61.0;0.0;;708.7;14.8;15.2;14.0;106.0;2.3
06/10/2016 9:00;68.0;75.0;60.0;0.0;;708.6;14.1;15.6;13.2;129.0;1.9
06/10/2016 8:00;71.0;81.0;70.0;0.0;;708.2;13.2;13.2;10.5;123.0;2.5
06/10/2016 7:00;81.0;90.0;80.0;0.0;0.0;707.8;10.4;10.5;7.9;62.0;0.3
06/10/2016 6:00;88.0;90.0;81.0;0.0;;707.1;9.0;9.9;7.9;283.0;0.6
06/10/2016 5:00;90.0;93.0;86.0;0.0;;707.1;7.8;8.7;7.2;149.0;1.2
06/10/2016 4:00;88.0;94.0;88.0;0.0;;707.0;8.6;9.6;7.7;191.0;2.6
06/10/2016 3:00;89.0;92.0;86.0;0.0;;706.8;9.6;10.1;9.5;231.0;0.8
06/10/2016 2:00;87.0;88.0;83.0;0.0;;707.0;10.1;10.5;10.1;288.0;0.9
06/10/2016 1:00;85.0;85.0;82.0;0.0;;707.6;10.2;10.5;9.6;91.0;2.4
06/10/2016 0:00;84.0;88.0;84.0;0.0;;708.1;9.8;10.1;9.0;141.0;2.7
05/10/2016 23:00;88.0;98.0;86.0;0.0;;708.6;9.4;9.8;8.0;128.0;1.4
05/10/2016 22:00;97.0;97.0;94.0;0.0;;708.5;8.4;10.2;8.3;356.0;0.8
05/10/2016 21:00;96.0;98.0;89.0;0.0;;708.1;10.0;10.6;8.9;255.0;1.1
05/10/2016 20:00;95.0;96.0;91.0;0.0;;707.5;10.6;11.0;10.3;175.0;0.8
05/10/2016 19:00;91.0;94.0;90.0;0.0;0.9;707.3;11.0;11.0;10.5;35.0;0.2
05/10/2016 18:00;90.0;96.0;89.0;0.3;;706.9;10.9;11.0;9.9;57.0;1.8
05/10/2016 17:00;95.0;95.0;89.0;0.1;;707.0;10.1;10.4;9.9;45.0;1.1
05/10/2016 16:00;91.0;91.0;82.0;0.3;;706.9;9.9;11.7;9.8;333.0;0.5
05/10/2016 15:00;85.0;89.0;70.0;0.2;;707.0;11.6;14.3;11.4;344.0;1.7
05/10/2016 14:00;74.0;81.0;69.0;0.0;;707.3;13.7;14.4;12.6;315.0;2.5
05/10/2016 13:00;73.0;76.0;53.0;0.0;0.0;707.8;13.6;18.4;13.6;306.0;2.6
05/10/2016 12:00;57.0;65.0;55.0;0.0;;708.1;17.9;18.2;15.4;189.0;5.1
05/10/2016 11:00;62.0;67.0;55.0;0.0;;708.9;16.3;17.7;14.4;141.0;2.7
