;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
19/10/2016 23:00;51.0;62.0;50.0;0.0;;;7.0;7.3;6.9;142.0;17.5
19/10/2016 22:00;60.0;63.0;46.0;0.0;;;7.3;8.3;7.3;153.0;12.0
19/10/2016 21:00;57.0;62.0;52.0;0.0;;;7.8;8.2;7.2;139.0;7.9
19/10/2016 20:00;57.0;70.0;57.0;0.0;;;7.7;8.0;7.4;139.0;8.5
19/10/2016 19:00;70.0;70.0;60.0;0.0;0.0;;7.8;9.1;7.7;107.0;8.4
19/10/2016 18:00;60.0;68.0;46.0;0.0;;;8.9;11.1;8.7;143.0;8.6
19/10/2016 17:00;46.0;52.0;37.0;0.0;;;11.0;12.8;11.0;148.0;9.1
19/10/2016 16:00;38.0;58.0;35.0;0.0;;;12.2;14.1;12.2;105.0;11.7
19/10/2016 15:00;37.0;57.0;35.0;0.0;;;13.6;14.6;13.1;117.0;6.6
19/10/2016 14:00;47.0;48.0;32.0;0.0;;;13.6;15.6;13.6;82.0;5.9
19/10/2016 13:00;34.0;42.0;32.0;0.0;0.0;;14.3;15.0;12.6;123.0;13.7
19/10/2016 12:00;38.0;44.0;36.0;0.0;;;13.0;14.4;12.3;144.0;9.5
19/10/2016 11:00;41.0;45.0;38.0;0.0;;;13.2;13.6;12.0;100.0;15.9
19/10/2016 10:00;44.0;56.0;42.0;0.0;;;12.6;12.6;9.5;142.0;12.4
19/10/2016 9:00;56.0;65.0;55.0;0.0;;;9.7;10.0;8.1;148.0;14.4
19/10/2016 8:00;65.0;69.0;63.0;0.0;;;8.1;8.4;7.3;131.0;16.0
19/10/2016 7:00;70.0;78.0;69.0;0.0;0.0;;7.3;7.3;6.3;140.0;14.5
19/10/2016 6:00;76.0;78.0;73.0;0.0;;;6.3;6.3;6.0;143.0;12.9
19/10/2016 5:00;73.0;76.0;73.0;0.0;;;6.1;6.1;5.5;141.0;13.5
19/10/2016 4:00;73.0;73.0;70.0;0.0;;;5.5;5.7;5.3;143.0;12.0
19/10/2016 3:00;72.0;75.0;72.0;0.0;;;5.6;6.0;5.6;125.0;13.6
19/10/2016 2:00;72.0;72.0;64.0;0.0;;;6.0;7.0;6.0;132.0;17.0
19/10/2016 1:00;64.0;64.0;56.0;0.0;;;6.9;7.3;6.9;142.0;14.9
19/10/2016 0:00;56.0;56.0;51.0;0.0;;;7.2;8.0;7.2;143.0;16.2
