;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
05/11/2016 21:00;80.0;84.0;80.0;0.0;;;7.6;8.1;7.4;140.0;18.7
05/11/2016 20:00;;85.0;78.0;0.0;;;;8.5;7.9;;
05/11/2016 19:00;77.0;81.0;74.0;0.0;0.0;;8.4;8.6;8.3;142.0;15.5
05/11/2016 18:00;80.0;82.0;74.0;0.0;;;8.6;10.0;8.5;149.0;15.8
05/11/2016 17:00;74.0;76.0;70.0;0.0;;;10.0;10.7;9.7;145.0;15.7
05/11/2016 16:00;74.0;75.0;61.0;0.0;;;9.9;12.2;9.7;146.0;16.4
05/11/2016 15:00;62.0;75.0;59.0;0.0;;;11.8;12.7;10.3;150.0;14.8
05/11/2016 14:00;60.0;68.0;59.0;0.0;;;12.5;12.9;11.0;146.0;16.9
05/11/2016 13:00;60.0;61.0;53.0;0.0;0.0;;12.5;14.4;12.2;151.0;16.1
05/11/2016 12:00;59.0;63.0;56.0;0.0;;;12.6;13.5;11.8;128.0;14.8
05/11/2016 11:00;60.0;69.0;59.0;0.0;;;12.4;12.7;10.0;132.0;17.2
05/11/2016 10:00;70.0;73.0;65.0;0.0;;;10.4;11.0;9.6;153.0;18.0
05/11/2016 9:00;69.0;80.0;66.0;0.0;;;10.3;10.7;8.3;142.0;21.9
05/11/2016 8:00;76.0;78.0;72.0;0.0;;;8.6;8.7;8.0;136.0;17.1
05/11/2016 7:00;71.0;78.0;71.0;0.0;0.0;;8.4;8.5;7.5;144.0;21.2
05/11/2016 6:00;74.0;79.0;72.0;0.0;;;8.0;8.1;7.6;147.0;20.5
05/11/2016 5:00;75.0;81.0;72.0;0.0;;;7.9;8.1;7.4;141.0;19.1
05/11/2016 4:00;76.0;80.0;76.0;0.0;;;7.9;8.2;7.6;145.0;18.5
05/11/2016 3:00;77.0;81.0;76.0;0.0;;;7.9;8.1;7.5;146.0;19.5
05/11/2016 2:00;77.0;83.0;77.0;0.0;;;7.9;8.0;7.3;134.0;18.7
05/11/2016 1:00;80.0;80.0;75.0;0.0;;;7.7;8.1;7.6;145.0;22.0
05/11/2016 0:00;78.0;82.0;77.0;0.0;;;7.7;7.7;7.3;143.0;19.3
04/11/2016 23:00;82.0;86.0;80.0;0.0;;;7.3;7.8;7.1;145.0;19.1
04/11/2016 22:00;80.0;82.0;78.0;0.0;;;7.8;8.1;7.7;145.0;18.6
