FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
26/9/2016 21:00;81.0;82.0;75.0;0.0;;1008.8;25.4;26.4;25.4;192.0;2.1
26/9/2016 20:00;75.0;75.0;72.0;0.0;;1007.7;26.4;26.8;26.4;191.0;1.3
26/9/2016 19:00;73.0;73.0;71.0;0.0;0.0;1007.0;26.8;27.4;26.7;182.0;1.5
26/9/2016 18:00;72.0;72.0;68.0;0.0;;1006.1;27.4;28.1;27.4;183.0;1.5
26/9/2016 17:00;69.0;70.0;66.0;0.0;;1005.3;28.0;28.5;28.0;173.0;1.9
26/9/2016 16:00;67.0;70.0;66.0;0.0;;1005.2;28.3;28.6;27.9;172.0;2.0
26/9/2016 15:00;69.0;69.0;63.0;0.0;;1005.6;28.0;29.1;27.9;202.0;1.1
26/9/2016 14:00;67.0;71.0;64.0;0.0;;1006.4;28.3;28.9;27.4;211.0;1.7
26/9/2016 13:00;69.0;73.0;68.0;0.0;0.0;1007.4;27.4;27.9;26.7;203.0;1.1
26/9/2016 12:00;70.0;76.0;68.0;0.0;;1008.3;26.9;27.5;25.7;197.0;1.1
26/9/2016 11:00;74.0;78.0;73.0;0.0;;1009.2;26.1;26.1;25.1;205.0;1.2
26/9/2016 10:00;77.0;80.0;76.0;0.0;;1009.9;25.5;25.5;24.7;212.0;1.5
26/9/2016 9:00;78.0;84.0;77.0;0.0;;1010.0;24.9;25.4;23.8;201.0;2.2
26/9/2016 8:00;83.0;89.0;82.0;0.0;;1010.0;23.8;23.9;22.9;207.0;1.9
26/9/2016 7:00;89.0;90.0;88.0;0.0;0.0;1009.4;23.0;23.0;22.6;192.0;1.7
26/9/2016 6:00;88.0;89.0;87.0;0.0;;1008.7;22.8;22.9;22.8;215.0;1.5
26/9/2016 5:00;88.0;88.0;87.0;0.0;;1008.4;22.9;23.1;22.8;214.0;1.6
26/9/2016 4:00;87.0;88.0;87.0;0.0;;1008.3;23.1;23.1;22.9;230.0;1.0
26/9/2016 3:00;88.0;90.0;88.0;0.0;;1007.8;23.0;23.0;22.6;221.0;0.7
26/9/2016 2:00;90.0;93.0;90.0;0.0;;1008.1;22.7;22.7;22.2;232.0;0.9
26/9/2016 1:00;90.0;90.0;86.0;0.0;;1008.9;22.7;23.2;22.7;219.0;1.0
26/9/2016 0:00;87.0;88.0;85.0;0.0;;1009.6;23.1;23.9;23.1;198.0;1.7
25/9/2016 23:00;87.0;87.0;86.0;0.0;;1009.7;23.9;24.6;23.9;201.0;1.8
25/9/2016 22:00;86.0;86.0;84.0;0.0;;1009.3;24.6;25.3;24.6;193.0;2.2
