;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
04/11/2016 22:00;80.0;82.0;78.0;0.0;;;7.8;8.1;7.7;145.0;18.6
04/11/2016 21:00;82.0;83.0;79.0;0.0;;;7.8;8.2;7.8;134.0;17.0
04/11/2016 20:00;82.0;84.0;80.0;0.0;;;8.1;8.4;7.8;137.0;17.9
04/11/2016 19:00;81.0;81.0;78.0;0.0;0.0;;8.4;8.7;8.3;147.0;14.6
04/11/2016 18:00;80.0;80.0;71.0;0.0;;;8.6;9.7;8.6;136.0;15.0
04/11/2016 17:00;73.0;77.0;71.0;0.0;;;9.6;10.3;9.2;133.0;12.1
04/11/2016 16:00;71.0;74.0;68.0;0.0;;;10.2;11.3;9.7;155.0;11.7
04/11/2016 15:00;68.0;73.0;65.0;0.0;;;11.1;12.4;10.4;128.0;9.5
04/11/2016 14:00;65.0;72.0;61.0;0.0;;;12.4;13.0;11.1;116.0;12.1
04/11/2016 13:00;61.0;63.0;55.0;0.0;0.0;;12.4;13.8;11.8;103.0;13.7
04/11/2016 12:00;57.0;58.0;50.0;0.0;;;13.6;14.8;12.8;127.0;7.9
04/11/2016 11:00;52.0;59.0;50.0;0.0;;;14.0;14.8;12.5;106.0;14.4
04/11/2016 10:00;56.0;61.0;55.0;0.0;;;13.1;13.2;11.5;133.0;10.4
04/11/2016 9:00;59.0;66.0;58.0;0.0;;;12.3;12.5;9.5;139.0;7.9
04/11/2016 8:00;65.0;66.0;61.0;0.0;;;9.7;10.5;9.4;146.0;12.3
04/11/2016 7:00;64.0;70.0;64.0;0.0;0.0;;9.4;9.5;7.4;133.0;9.0
04/11/2016 6:00;70.0;70.0;68.0;0.0;;;7.4;7.7;7.3;154.0;7.9
04/11/2016 5:00;70.0;71.0;69.0;0.0;;;7.5;7.7;7.3;144.0;9.8
04/11/2016 4:00;71.0;75.0;71.0;0.0;;;7.3;7.4;6.8;143.0;8.3
04/11/2016 3:00;74.0;76.0;73.0;0.0;;;6.9;7.4;6.8;110.0;10.2
04/11/2016 2:00;74.0;76.0;72.0;0.0;;;7.4;7.7;7.3;140.0;11.0
04/11/2016 1:00;74.0;74.0;66.0;0.0;;;7.5;8.4;7.5;143.0;9.9
04/11/2016 0:00;67.0;72.0;66.0;0.0;;;8.4;8.4;7.7;138.0;7.8
