FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
01/11/2016 23:00;73;78;64;0;;708.8;9.7;10.5;9.2;44;1.2
01/11/2016 22:00;70;77;70;0;;708.7;10.2;10.2;9;208;1
01/11/2016 21:00;75;76;67;0;;708.4;9.1;10.5;8.9;308;0.5
01/11/2016 20:00;69;71;68;0;;708;10.4;10.6;10.1;346;0.8
01/11/2016 19:00;69;75;67;0;0;707.3;10.5;10.6;9.9;327;1.7
01/11/2016 18:00;73;74;61;0;;706.8;10.1;12.4;10;345;1.1
01/11/2016 17:00;61;64;53;0;;706.3;12.4;15;11.9;324;1.8
01/11/2016 16:00;55;59;51;0;;705.9;14.7;15.9;14.4;317;3.6
01/11/2016 15:00;53;57;49;0;;706;16.1;17.4;15.5;330;3.8
01/11/2016 14:00;53;60;49;0;;706.5;17.1;17.8;15.2;281;1.8
01/11/2016 13:00;57;64;48;0;0;706.9;17.3;17.9;14.8;318;2.4
01/11/2016 12:00;58;63;38;0;;707.2;15.1;18.7;14.3;331;4.1
01/11/2016 11:00;40;44;33;0;;707.6;17.7;18.4;16.8;161;7.1
01/11/2016 10:00;38;51;34;0;;707.9;17.3;18;16.7;137;4
01/11/2016 09:00;50;70;47;0;;707.9;16.6;17;13.5;127;2.1
01/11/2016 08:00;65;73;64;0;;707.6;13.7;13.7;11;81;2.8
01/11/2016 07:00;73;82;71;0;0.1;707.1;11;11.1;6.9;146;2
01/11/2016 06:00;80;88;80;0.1;;706.8;7.1;7.2;6.2;131;2.7
01/11/2016 05:00;85;90;83;0;;706.8;6.2;7.1;5.6;128;1.8
01/11/2016 04:00;87;89;82;0;;706.5;6.9;7.9;6.5;112;0.6
01/11/2016 03:00;88;94;87;0;;706.5;7;7.1;5.9;145;1.3
01/11/2016 02:00;94;94;85;0;;706.8;6.2;7.3;5.9;169;0.7
01/11/2016 01:00;85;90;84;0;;707.2;7.3;8;7.1;184;1
