FECHA;HUMEDAD RELATIVA DEL AIRE INSTANTANEA;HUMEDAD RELATIVA DEL AIRE MAXIMA;HUMEDAD RELATIVA DEL AIRE MINIMA;PRECIPITACION;PRECIPITACION ACUMULADA;PRESION ATMOSFERICA;TEMPERATURA AIRE INSTANTANEA;TEMPERATURA AIRE MAXIMA;TEMPERATURA AIRE MINIMA;DIRECCION DEL VIENTO;VELOCIDAD DEL VIENTO
13/10/2016 21:00;85.0;87.0;85.0;0.0;;;23.2;23.7;23.2;;
13/10/2016 20:00;85.0;85.0;84.0;0.0;;;23.7;24.2;23.7;;
13/10/2016 19:00;84.0;85.0;82.0;0.0;0.0;;24.2;24.7;24.2;;
13/10/2016 18:00;82.0;82.0;77.0;0.0;;;24.7;25.8;24.7;;
13/10/2016 17:00;;79.0;76.0;0.0;;;;25.9;25.3;;
13/10/2016 16:00;78.0;80.0;75.0;0.0;;;25.5;26.0;25.2;;
13/10/2016 15:00;78.0;81.0;75.0;0.0;;;25.5;25.7;24.7;;
13/10/2016 14:00;79.0;82.0;77.0;0.0;;;25.0;25.3;24.7;;
13/10/2016 13:00;81.0;82.0;80.0;0.0;0.0;;24.7;25.0;24.5;;
13/10/2016 12:00;81.0;85.0;80.0;0.0;;;25.0;25.1;24.0;;
13/10/2016 11:00;;85.0;83.0;0.0;;;;24.3;23.9;;
13/10/2016 10:00;83.0;86.0;82.0;0.0;;;24.2;24.6;23.8;;
13/10/2016 9:00;85.0;90.0;85.0;0.0;;;24.0;24.0;22.8;;
13/10/2016 8:00;89.0;93.0;89.0;0.0;;;22.8;22.8;22.5;;
13/10/2016 7:00;92.0;96.0;92.0;0.0;0.0;;22.5;22.6;22.5;;
13/10/2016 6:00;96.0;96.0;93.0;0.0;;;22.6;22.8;22.5;;
13/10/2016 5:00;93.0;93.0;92.0;0.0;;;22.8;22.9;22.8;;
13/10/2016 4:00;92.0;93.0;92.0;0.0;;;22.9;23.0;22.9;;
13/10/2016 3:00;93.0;94.0;93.0;0.0;;;23.0;23.1;23.0;;
13/10/2016 2:00;94.0;95.0;94.0;0.0;;;23.1;23.3;23.1;;
13/10/2016 1:00;95.0;97.0;95.0;0.0;;;23.2;23.2;23.1;;
13/10/2016 0:00;97.0;98.0;97.0;0.0;;;23.1;23.1;22.2;;
12/10/2016 23:00;98.0;98.0;94.0;0.0;;;22.2;22.9;22.1;;
12/10/2016 22:00;94.0;94.0;92.0;0.0;;;22.9;23.5;22.9;;
