FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
29/10/2016 21:00;80.0;81.0;76.0;0.0;;708.5;8.5;9.3;8.4;101.0;3.5
29/10/2016 20:00;76.0;77.0;74.0;0.0;;708.2;9.2;9.4;8.9;132.0;2.5
29/10/2016 19:00;74.0;75.0;71.0;0.0;0.0;707.6;9.4;10.2;9.3;135.0;4.5
29/10/2016 18:00;72.0;72.0;61.0;0.0;;707.0;10.2;12.9;10.1;115.0;3.6
29/10/2016 17:00;63.0;63.0;57.0;0.0;;706.5;12.7;14.4;12.5;80.0;3.8
29/10/2016 16:00;58.0;62.0;54.0;0.0;;706.4;14.3;15.5;13.8;69.0;5.0
29/10/2016 15:00;56.0;59.0;48.0;0.0;;706.8;15.4;17.5;14.6;68.0;5.8
29/10/2016 14:00;51.0;54.0;45.0;0.0;;707.3;16.1;17.9;15.1;88.0;4.0
29/10/2016 13:00;50.0;57.0;48.0;0.0;0.0;707.9;15.1;16.2;14.0;177.0;5.9
29/10/2016 12:00;54.0;58.0;51.0;0.0;;708.6;14.8;15.0;13.2;168.0;4.8
29/10/2016 11:00;57.0;61.0;54.0;0.0;;709.5;13.2;13.7;11.4;154.0;4.7
29/10/2016 10:00;60.0;64.0;58.0;0.0;;710.0;11.7;12.6;11.0;163.0;6.4
29/10/2016 9:00;61.0;69.0;57.0;0.0;;710.3;11.0;11.2;9.4;119.0;6.8
29/10/2016 8:00;69.0;81.0;68.0;0.0;;709.8;9.6;9.7;7.7;135.0;4.8
29/10/2016 7:00;81.0;89.0;81.0;0.0;0.0;709.0;7.7;7.7;6.7;104.0;3.2
29/10/2016 6:00;87.0;87.0;82.0;0.0;;708.5;7.1;8.2;7.1;118.0;3.6
29/10/2016 5:00;82.0;82.0;80.0;0.0;;707.8;8.2;8.9;8.2;141.0;4.7
29/10/2016 4:00;82.0;84.0;80.0;0.0;;707.1;8.8;9.2;8.4;112.0;2.9
29/10/2016 3:00;82.0;84.0;79.0;0.0;;707.1;9.0;9.3;8.8;137.0;3.5
29/10/2016 2:00;79.0;82.0;77.0;0.0;;707.3;9.3;9.7;9.0;141.0;4.4
29/10/2016 1:00;77.0;77.0;74.0;0.0;;707.8;9.7;10.1;9.7;138.0;4.2
29/10/2016 0:00;78.0;78.0;75.0;0.0;;708.4;9.8;10.2;9.7;131.0;3.9
28/10/2016 23:00;75.0;78.0;75.0;0.0;;708.7;10.2;10.2;9.9;113.0;3.7
