FECHA;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;HUMEDAD RELATIVA DEL AIRE;PRECIPITACION;PRECIPITACION (ACUM);PRESION ATMOSFERICA;TEMPERATURA AIRE;TEMPERATURA AIRE;TEMPERATURA AIRE;VIENTO DIRECCION;VIENTO VELOCIDAD
08/10/2016 21:00;84.0;84.0;83.0;0.0;;1008.8;22.3;22.9;22.2;205.0;2.6
08/10/2016 20:00;83.0;84.0;79.0;0.0;;1007.7;22.8;24.3;22.8;201.0;3.3
08/10/2016 19:00;79.0;79.0;68.0;0.0;0.0;1006.2;24.3;27.0;24.3;199.0;2.6
08/10/2016 18:00;68.0;68.0;63.0;0.0;;1005.3;27.0;28.3;27.0;108.0;2.7
08/10/2016 17:00;65.0;66.0;62.0;0.0;;1004.7;28.3;28.7;27.8;107.0;2.1
08/10/2016 16:00;63.0;66.0;61.0;0.0;;1004.6;28.2;28.7;27.5;120.0;1.7
08/10/2016 15:00;63.0;69.0;62.0;0.0;;1004.9;28.4;28.5;26.7;120.0;2.2
08/10/2016 14:00;68.0;72.0;66.0;0.0;;1006.1;27.0;27.1;25.8;277.0;0.4
08/10/2016 13:00;70.0;74.0;69.0;0.0;0.0;1007.2;26.1;26.2;25.4;169.0;2.0
08/10/2016 7:00;;;;;0.0;;;;;;
07/10/2016 22:00;;83.0;79.0;0.0;;;;22.7;21.7;;
